                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7625,                 5.2939,                 3.7325,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                 0.0883,                 0.0013,                 0.0013
                      1,                 3.6161,                  4.453,                 3.0709,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.075165,              0.0021654,              0.0021654
                      2,                 3.3952,                 4.2547,                 2.9317,                0.00183,                 0.6875,                0.00175,                0.00071,                      0,                    inf,                      0,               0.061476,              0.0024764,              0.0024764
                      3,                 3.5305,                 4.1937,                 2.9437,                0.00204,                 0.6875,                0.00182,                0.00075,                      0,                    inf,                      0,               0.047233,               0.002233,               0.002233
                      4,                 3.3476,                 4.0333,                 2.8583,                0.00204,                 0.6875,                0.00182,                0.00075,                      0,                    inf,                      0,               0.032435,              0.0014352,              0.0014352
